provid,run_timestamp,t1_passes,t1_gls_period_hr,t1_gls_power,t1_snr,t1_n_obs,t1_reject_reason,t2_passes,t2_to_tier3,t2_mhaov_period_hr,t2_mbls_period_hr,t2_ce_period_hr,t2_consensus_period_hr,t2_F_stat,t2_p_value,t2_amplitude_mag,t2_agreement,t2_period_spread_pct,t3_ran,t3_publish_tentative,t3_needs_followup,t3_bayes_period_hr,t3_clean_period_hr,t3_ci_lo,t3_ci_hi,t3_ci_width,t3_clean_peak_ratio,final_period_hr,final_period_unc_hr,reliability,n_bands,baseline_hr,bands_used
2016 EE44,2026-03-20T14:30:21.340806+00:00,True,0.8996998499249624,0.5229923336779725,9.181410553060624,54,,False,True,0.8996332110703568,0.9701567189063021,1.0758219777472184,0.9701567189063021,14.371784221140995,7.836405435668325e-08,0.35302523576518097,False,0.10891565948224148,True,False,True,0.9701567189063021,0.9344653345987124,0.969300304345067,0.9710131334675371,0.001712829122470172,2.1518833267442155,,,followup_needed,3,263.169722222141,"Lg,Li,Lr"
2025 MV322,2026-03-20T14:30:24.301133+00:00,True,3.062781390695348,0.15958704556983996,4.751196184033871,52,,False,False,0.7507502500833612,2.6862287429143046,0.5528816102012751,0.7507502500833612,4.282431515426562,0.004901876112584191,0.5499509583019205,False,2.5780590717265235,False,,,,,,,,,,,,3,263.56666666665114,"Lg,Li,Lr"
2025 NB94,2026-03-20T14:30:29.088244+00:00,True,0.7609429714637876,0.15764372025127066,14.273494269794753,48,,False,True,0.6062329109613852,1.297559186370429,0.6244030503708307,0.6244030503708307,6.435839708193977,0.0003765544795251152,0.2733374152665695,False,1.078079512261728,True,False,True,1.297559186370429,1.5570710236445147,1.2966179905059867,1.2985003822348713,0.0018823917288846026,4.84977043719158,,,followup_needed,3,1.3024999999324791,"Li,Lr,Lz"
2000 SL258,2026-03-20T14:30:31.905171+00:00,True,1.0172586293146573,0.6192366026214604,44.34603930870908,49,,True,False,0.6723907969323107,0.6802267422474157,0.6410176272034005,0.6723907969323107,31.347169737932166,2.2812862709997717e-12,0.10643049434090178,True,0.04665913018440957,False,,,,,,,,,0.6723907969323107,0.03137316972886359,confirmed,3,365.6991666665417,"Lg,Li,Lr,Lz"
2025 MP10,2026-03-20T14:30:31.039892+00:00,True,2.0752876438219108,0.16075410300430798,3.4120869218130703,53,,False,False,19.45515171723908,12.957652550850282,1.9953744218027254,12.957652550850282,3.7887063746660994,0.009330877598174747,0.6346481674572311,False,0.8460080316266363,False,,,,,,,,,,,,3,98.96499999985099,"Lg,Li,Lr"
2014 KU44,2026-03-20T14:30:37.052718+00:00,True,3.309654827413707,0.388706998352914,7.180097933453908,53,,False,True,10.169556518839613,10.443814604868288,0.5940117514689336,10.169556518839613,8.158837218640866,4.198636291263824e-05,0.2714077018845577,False,0.9415892177432282,True,False,True,10.443814604868288,0.539858159527466,10.438093634332962,10.449535575403615,0.011441941070653883,1.1517411628341492,,,followup_needed,4,171.61361111118458,"Lg,Li,Lr,Lz"
2025 MZ52,2026-03-20T14:30:41.733816+00:00,True,1.3581790895447723,0.43385738995885953,5.273559226654626,53,,False,True,1.2835945315105035,1.158219406468823,2.057069633704213,1.2835945315105035,10.81730187406487,2.4811752652453833e-06,0.943967101571178,False,0.6025852270365313,True,False,True,1.158219406468823,0.9265755251750584,1.1558952203688855,1.1605435925687604,0.004648372199874795,2.112606812023068,,,followup_needed,2,50.926388888969086,"Lg,Li,Lr"
2025 MJ39,2026-03-20T14:30:47.507402+00:00,True,0.5,0.2121014495621311,3.4629549980217167,53,,False,True,0.9074691563854618,0.9231410470156718,0.867233404175522,0.9074691563854618,5.074225978840962,0.001715488586913172,0.6614244046221479,False,0.044338423985844755,True,False,True,0.9231410470156718,0.7425142189596442,0.9225542293362,0.9237278646951436,0.0011736353589435478,1.9568207906366089,,,followup_needed,3,216.6350000000093,"Lg,Li,Lr"
2025 MK214,2026-03-20T14:30:37.418854+00:00,True,0.7586293146573286,0.33943956152794574,3.9602381962290356,52,,False,True,0.6097032344114705,2.2552517505835277,0.5528816102012751,0.6097032344114705,7.624835353737979,8.062073817283189e-05,0.5653240025116948,False,2.698933552087452,True,False,True,2.2552517505835277,0.675088686195287,2.254431727512082,2.2560717736549734,0.0016400461428915936,1.880729076256693,,,followup_needed,3,214.2438888887409,"Lg,Li,Lr"
2025 MH118,2026-03-20T14:30:41.577347+00:00,True,2.5925462731365685,0.7132528197090028,16.541883369443923,45,,False,True,5.460153384461487,3.1642214071357118,2.2803475434429306,3.1642214071357118,27.337527646089654,5.641853650928397e-11,0.5888910479522037,False,0.7255914431738051,True,False,True,3.1642214071357118,1.8944425745525886,3.1578717989608576,3.170571015310566,0.012699216349707942,1.448811377404234,,,followup_needed,3,599.4172222221969,"Lg,Li,Lr"
2025 MD33,2026-03-20T14:30:46.793892+00:00,True,2.0635317658829413,0.2966747549415523,5.033994988828226,53,,False,True,17.182727575858618,17.221907302434143,2.2832854106763345,17.182727575858618,6.349474205012666,0.00034840676248104607,0.845711158123142,False,0.8671174060930135,True,False,True,17.221907302434143,1.899937826676495,17.211519558916518,17.23229504595177,0.020775487035251672,1.3503001073661964,,,followup_needed,2,144.16166666673962,"Lg,Lr"
2019 FE28,2026-03-20T14:30:50.488352+00:00,True,0.6058029014507254,0.05114105092606253,10.75181969910497,51,,False,False,0.5783594531510503,0.5,0.7702837854731841,0.5783594531510503,3.8193169416471258,0.009200919086376658,0.43867424372348285,False,0.33184264781382766,False,,,,,,,,,,,,3,365.67694444436347,"Lg,Li,Lr,Lz"
2025 NQ80,2026-03-20T14:30:50.907403+00:00,True,16.781890945472735,0.1714457985834041,9.41234631611422,51,,False,False,0.5313437812604201,0.5861953984661554,0.6263282910363795,0.5861953984661554,4.268459718068118,0.005079202790129855,0.6899249849711724,False,0.09357224118300311,False,,,,,,,,,,,,3,365.6991666665417,"Lg,Li,Lr,Lz"
2025 MY60,2026-03-20T14:30:53.969922+00:00,True,1.2171085542771385,0.11397294395409578,3.9258943756036513,53,,False,False,0.8134378126042014,0.8682894298099366,0.817289661207651,0.817289661207651,3.834828353133701,0.008768381484121623,0.7380681426134864,False,0.062401093544808175,False,,,,,,,,,,,,3,240.44944444438443,"Lg,Li,Lr"
2020 OW104,2026-03-20T14:30:56.814991+00:00,True,1.0525262631315657,0.11740657050750632,4.884875766878957,50,,False,False,2.270923641213738,4.90380126708903,0.5,2.270923641213738,2.1135845080890365,0.09473196372129689,0.266958460659935,False,1.159386241831954,False,,,,,,,,,,,,2,642.9747222221922,"Lg,Li,Lr"
2025 KB29,2026-03-20T14:30:59.882085+00:00,True,9.622561280640321,0.1977679849413478,5.140772789433761,51,,False,False,5.851950650216739,2.537345781927309,0.6204525565695712,2.537345781927309,3.0657050393423795,0.02546278046866879,0.45701470098066144,False,1.3063276167942812,False,,,,,,,,,,,,3,212.8233333332464,"Lg,Li,Lr,Lz"
2025 MF17,2026-03-20T14:30:54.802459+00:00,True,0.8996998499249624,0.1961320796908381,3.7586791972965297,52,,False,True,0.8682894298099366,0.8682894298099366,0.8466683335416927,0.8682894298099366,4.704691980968413,0.0028225761736911936,0.6972349910985063,False,0.024900794050840586,True,False,True,0.8682894298099366,0.679600000167245,0.8673726019430578,0.8692062576768155,0.0018336557337577108,3.8265902229674573,,,followup_needed,3,98.54611111117993,"Lg,Li,Lr"
2025 MT32,2026-03-20T14:30:55.096965+00:00,False,,0.0,2.9475369872394444,53,SNR=2.95 < threshold=3.0,,,,,,,,,,,,False,,,,,,,,,,,,2,50.91611111123348,"Lg,Li,Lr"
2025 KM28,2026-03-20T14:31:00.819946+00:00,True,5.07303651825913,0.6830387824385686,23.79980145859517,53,,False,True,11.556518839613204,4.512004001333778,12.824353044130516,11.556518839613204,47.00354626386839,5.551115123125783e-16,0.990071740677559,False,0.6095706618961906,True,False,True,4.512004001333778,3.615639326821315,4.502949812702338,4.521058189965217,0.018108377262879394,1.3786674161145498,,,followup_needed,4,165.66333333333023,"Lg,Li,Lr,Lz"
2025 KX28,2026-03-20T14:31:02.396029+00:00,False,0.6410705352676338,0.04692081650659401,5.661900211382073,53,GLS power=0.047 too low — no periodic signal,,,,,,,,,,,,False,,,,,,,,,,,,3,167.4355555556249,"Lg,Li,Lr"
2025 MH24,2026-03-20T14:31:00.360460+00:00,False,,0.0,2.94273807829899,53,SNR=2.94 < threshold=3.0,,,,,,,,,,,,False,,,,,,,,,,,,2,144.44611111097038,"Lg,Li,Lr"
2025 MV84,2026-03-20T14:31:04.540510+00:00,True,15.089044522261132,0.266135041394431,3.2895722854279126,53,,False,False,5.342614204734911,4.370956985661887,1.2579697462182773,4.370956985661887,5.258220912656972,0.0013557093197299475,0.6315978788021592,False,0.7121980952122096,False,,,,,,,,,,,,2,216.81083333323477,"Lg,Li,Lr"
2025 MG71,2026-03-20T14:31:09.309108+00:00,True,5.4022011005502755,0.4745503434482963,5.012842443628907,53,,False,True,4.378792930976992,6.565021673891296,10.85010626328291,6.565021673891296,13.056247774706119,2.863435029087924e-07,0.91735016718409,False,0.6527144619236354,True,False,True,6.565021673891296,3.7959301930074796,6.551847717355059,6.578195630427533,0.026347913072473972,3.796063707460162,,,followup_needed,3,144.35166666662553,"Lg,Li,Lr"
2017 UA199,2026-03-20T14:31:14.478776+00:00,True,1.734367183591796,0.592250701185902,15.045567827509533,53,,False,True,6.901967322440814,9.628876292097365,5.329853731716464,6.901967322440814,40.28196444729951,8.881784197001252e-15,1.3240099688208389,False,0.39509155031638304,True,False,True,9.628876292097365,4.834302113851187,9.618180933438401,9.639571650756329,0.021390717317927965,1.2200998441416104,,,followup_needed,3,49.53111111122416,"Lg,Li,Lr"
