provid,run_timestamp,t1_passes,t1_gls_period_hr,t1_gls_power,t1_snr,t1_n_obs,t1_reject_reason,t2_passes,t2_to_tier3,t2_mhaov_period_hr,t2_mbls_period_hr,t2_ce_period_hr,t2_consensus_period_hr,t2_F_stat,t2_p_value,t2_amplitude_mag,t2_agreement,t2_period_spread_pct,t3_ran,t3_publish_tentative,t3_needs_followup,t3_adopted_period_hr,t3_clean_period_hr,t3_ci_lo,t3_ci_hi,t3_ci_width,t3_clean_peak_ratio,final_period_hr,final_period_unc_hr,reliability,r_code,r_flag,alias_risk,alias_note,lcdb_agreement,lcdb_delta_pct,reliability_notes,period_exceeds_grid,n_cycles,regime,n_nights,n_seasons,obs_per_night_median,night_duration_hr,reliability_ceiling,recommended_methods,lcdb_period_hr,lcdb_u_code,n_bands,baseline_hr,bands_used
2025 ML10,2026-03-20T18:14:16.017614+00:00,True,4.474372186093046,0.40435224296049166,15.120381169341341,264,,False,True,11.001083694564855,8.195318439479825,11.001083694564855,11.001083694564855,79.8443829569502,1.1102230246251565e-16,1.5271584981034756,False,0.2550444422553551,True,False,True,8.195318439479825,7.367563868000593,8.178872984417325,8.211763894542326,0.032890910125003,1.5127816917681185,,,followup_needed,0,0,False,,no_prior,,No reliable period. Methods disagree at Tier 2 and Tier 3 could not resolve ambiguity. More observations needed.,False,,dense,5,1,77.0,2.94972222216893,high,"gls,mbls,mhaov,ce,clean",,0,3,144.2675000000163,"Lg,Li,Lr"
2025 ML17,2026-03-20T18:14:17.451819+00:00,True,3.358279139569784,0.5025525623332906,8.896301699370863,240,,True,False,6.72943981327109,6.72943981327109,6.72943981327109,6.72943981327109,72.0055981557233,1.1102230246251565e-16,1.1609673717678977,True,0.0,False,,,,,,,,,6.72943981327109,0.0,confirmed,2,2,False,,no_prior,,"All 3 methods agree (spread=0.0%), p=1.11e-16, sparse regime. Moderate confidence.",False,43.0,sparse,7,1,19.0,1.7591666666558012,medium,"mbls,mhaov,clean",,0,3,289.1102777776541,"Lg,Li,Lr"
2025 ML35,2026-03-20T18:14:25.912421+00:00,True,19.103591795897948,0.5840350584157077,11.67189442518947,401,,False,True,19.10440813604535,21.288226075358452,19.10440813604535,19.10440813604535,104.59923151507887,1.1102230246251565e-16,1.2605645979204627,False,0.11430963596263714,True,False,True,21.288226075358452,15.283526508836282,21.26555613744157,21.310896013275332,0.04533987583376131,1.557057837657423,,,followup_needed,0,0,False,,no_prior,,No reliable period. Methods disagree at Tier 2 and Tier 3 could not resolve ambiguity. More observations needed.,False,,dense,7,1,32.0,2.67944444459863,high,"gls,mbls,mhaov,ce,clean",,0,3,288.8405555555946,"Lg,Li,Lr"
2025 ML52,2026-03-20T18:14:28.250573+00:00,True,3.8623211605802896,0.5765442505557863,11.698445949137435,425,,True,False,11.481043681227074,11.457045681893964,11.481043681227074,11.481043681227074,136.33505545442927,1.1102230246251565e-16,1.158146148964606,True,0.0020902280314765887,False,,,,,,,,,11.481043681227074,0.023997999333107995,confirmed,-1,-1,True,"0.5-day alias (12.0hr, Δ=4.3%)",no_prior,,"Period 11.481hr is close to known alias: 0.5-day alias (12.0hr, Δ=4.3%). Independent confirmation required.",False,25.2,dense,7,1,33.0,2.691111111198552,high,"gls,mbls,mhaov,ce,clean",,0,3,288.8641666666372,"Lg,Li,Lr"
2025 ML53,2026-03-20T18:14:30.398368+00:00,True,2.182181090545272,0.4769162090323786,13.196535202746416,83,,False,True,3.9456718906302095,4.729606535511837,3.9456718906302095,3.9456718906302095,29.113303601289974,8.215650382226158e-15,1.016133210611474,False,0.19868216785664292,True,False,True,4.729606535511837,3.599930741685355,4.721772874124151,4.737440196899523,0.015667322775371417,2.9048733670890523,,,followup_needed,0,0,False,,no_prior,,No reliable period. Methods disagree at Tier 2 and Tier 3 could not resolve ambiguity. More observations needed.,False,,sparse,6,1,13.0,2.0412500000966247,medium,"mbls,mhaov,clean",,0,3,289.04027777787996,"Lg,Li,Lr"
2025 MM37,2026-03-20T18:14:36.404456+00:00,True,2.0021660830415207,0.3151170500404004,9.637365852909841,290,,False,True,2.6737779259753247,3.6996932310770254,2.6737779259753247,2.6737779259753247,39.894019250183,1.1102230246251565e-16,0.6360661462920496,False,0.3836950313392574,True,False,True,3.6996932310770254,2.3822556504342023,3.6943277904228946,3.705058671731156,0.010730881308262052,2.1082227683984693,,,followup_needed,0,0,False,,no_prior,,No reliable period. Methods disagree at Tier 2 and Tier 3 could not resolve ambiguity. More observations needed.,False,,dense,6,1,43.0,2.110555555613246,high,"gls,mbls,mhaov,ce,clean",,0,3,216.62055555568077,"Lg,Li,Lr"
2025 MM81,2026-03-20T18:14:38.958764+00:00,True,0.5380440220110054,0.7279097462793406,14.595321707164395,384,,True,False,0.5379559853284428,1.0759119706568856,0.5379559853284428,1.0759119706568856,250.3141101956615,1.1102230246251565e-16,1.4084485447413642,True,0.0,False,,,,,,,,,1.0759119706568856,0.0,confirmed,2,2,False,,no_prior,,"All 3 methods agree (spread=0.0%), p=1.11e-16, dense regime. High confidence.",False,201.6,dense,7,1,38.0,2.9383333334117197,high,"gls,mbls,mhaov,ce,clean",,0,3,216.86000000004424,"Lg,Li,Lr"
2025 MM82,2026-03-20T18:14:48.452325+00:00,True,2.5062081040520257,0.6035934120954889,12.237521748557727,403,,False,True,4.537622540846948,5.6095331777259085,4.537622540846948,4.537622540846948,129.44679432579233,1.1102230246251565e-16,1.2359896966043304,False,0.2362273695596222,True,False,True,5.6095331777259085,3.660450022917338,5.6004275806539745,5.618638774797843,0.018211194143867182,5.397248698572896,,,followup_needed,0,0,False,,no_prior,,No reliable period. Methods disagree at Tier 2 and Tier 3 could not resolve ambiguity. More observations needed.,False,,dense,7,1,35.0,2.714166666730307,high,"gls,mbls,mhaov,ce,clean",,0,3,288.8763888889225,"Lg,Li,Lr"
2025 MN25,2026-03-20T18:14:50.251431+00:00,True,0.17801400700350173,0.1306769106884624,11.594274933638058,317,,True,False,0.17798599533177725,0.3559719906635545,0.17798599533177725,0.3559719906635545,9.645362184540428,2.2926897591535322e-07,1.1014561186956155,True,0.0,False,,,,,,,,,0.3559719906635545,0.0,confirmed,2,2,False,,no_prior,,"All 3 methods agree (spread=0.0%), p=2.29e-07, dense regime. High confidence.",False,812.1,dense,7,1,24.0,2.6561111112241633,high,"gls,mbls,mhaov,ce,clean",,0,3,289.07472222234355,"Lg,Li,Lr"
2025 MN37,2026-03-20T18:14:59.466137+00:00,True,2.650220110055027,0.45967189346730064,29.06526752033983,391,,False,True,5.969503167722574,3.9776692230743578,5.969503167722574,5.969503167722574,170.56762496262988,1.1102230246251565e-16,1.4532633760169915,False,0.333668295113375,True,False,True,3.9776692230743578,3.40562983647838,3.9696872781451105,3.985651168003605,0.015963889858494618,6.227323817134397,,,followup_needed,0,0,False,,no_prior,,No reliable period. Methods disagree at Tier 2 and Tier 3 could not resolve ambiguity. More observations needed.,False,,dense,6,1,58.5,2.8350000001082662,high,"gls,mbls,mhaov,ce,clean",,0,3,216.83527777780546,"Lg,Li,Lr"
